feature,coefficient
categorical__JobRole_Laboratory Technician,1.2646664756842032
categorical__JobRole_Sales Representative,1.137559488988555
categorical__BusinessTravel_Travel_Frequently,0.7398605777474322
categorical__OverTime_Yes,0.7280096974574781
categorical__EducationField_Human Resources,0.6759039576070245
numeric__JobLevel,0.6563474768690647
numeric__YearsSinceLastPromotion,0.49226535018301953
numeric__NumCompaniesWorked,0.44329119741558365
categorical__EducationField_Technical Degree,0.39105218118823504
categorical__JobRole_Human Resources,0.376066493271315
categorical__Department_Sales,0.35635471911614053
numeric__DistanceFromHome,0.3094350356905409
numeric__YearsAtCompany,0.2530596745007838
numeric__PerformanceRating,0.14232275335763866
categorical__BusinessTravel_Travel_Rarely,0.05609053936149503
categorical__EducationField_Marketing,0.04118183824140686
numeric__Education,0.017216855878504966
numeric__MonthlyRate,0.00802184653555771
categorical__JobRole_Research Scientist,0.0012556339360859947
numeric__HourlyRate,-0.028128085143635993
categorical__JobRole_Sales Executive,-0.05969784405181513
categorical__EducationField_Medical,-0.13831316301185767
numeric__TrainingTimesLastYear,-0.15301508623675952
categorical__EducationField_Life Sciences,-0.1992142311498739
numeric__WorkLifeBalance,-0.20983628384359782
numeric__YearsInCurrentRole,-0.22949321574637338
numeric__PercentSalaryHike,-0.23445363441511669
numeric__RelationshipSatisfaction,-0.2344822706940802
numeric__DailyRate,-0.2436612398491341
categorical__Department_Research & Development,-0.24519477181561516
categorical__Department_Human Resources,-0.25349796067322666
numeric__MonthlyIncome,-0.2662759678680938
numeric__Age,-0.27724797505526344
numeric__JobInvolvement,-0.2806025686535323
categorical__JobRole_Manufacturing Director,-0.30455641089750035
numeric__JobSatisfaction,-0.3668365040505105
numeric__EnvironmentSatisfaction,-0.41904934616707035
numeric__StockOptionLevel,-0.4368165860665855
numeric__YearsWithCurrManager,-0.4504845834980181
categorical__JobRole_Manager,-0.4586257867032541
categorical__JobRole_Healthcare Representative,-0.6216193040468913
numeric__TotalWorkingYears,-0.6740868603005942
categorical__OverTime_No,-0.8703477108301831
categorical__EducationField_Other,-0.9129485962476417
categorical__BusinessTravel_Non-Travel,-0.9382891304816333
categorical__JobRole_Research Director,-1.4773867595534032
